answer,question
"[""Spanish""]",how many members are there in the insolvency and bankruptcy board of india
"[""Jimmy Cliff""]",who argued that we are born with intellectual blank slates
"[""1982""]",how does the oral cavity help the digestive system
"[""Bella Dayne""]",who has become the first batsman to score three hundreds in t20 internationals
"[""1981""]",where is kevin durant on the all time scoring list
"[""Ryan Guzman""]",who is presenting national film awards in india
"[""Edwin Hubble""]",what is the theme of midnight in paris
"[""volume of the container decreases""]",where does lars and the real girl take place
"[""August 17, 2018""]",who plays dina bergeron on the young and the restless
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",what body of water does niagara falls flow into
"[""Saleisha Stowers""]",who played julie on days of our lives
"[""Lebanese""]",who does christian bale play in howl's moving castle
"[""Spectre""]",how many layers does open systems interconnection model have
"[""North Korea""]",where is the hgtv show home town filmed
"[""Shirley Mae Jones""]",a sound of thunder what is the sound of thunder at the end of the story
"[""George Casper Homans""]",when did the maple leafs last win the stanley cup
"[""42""]",what is the name given to a one way data transmission
"[""the Cambrian explosion""]",when did youtube red change to youtube premium
"[""1950""]",when did the usa leave the gold standard
"[""December 15, 2017""]",when was the women's army corps established
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who sang why does it always rain on me
"[""1974""]",who did the song once bitten twice shy
"[""Calcium ions""]",how many died in the las vegas shooting
"[""January 11, 1970""]",who played superman on tv in the 50s
"[""Season 4, Episode 8""]",who was the 2007 nba draft first pick
"[""Lionel Messi""]",when did fortnite come out on xbox one
"[""2002""]",who sang the original version of mr bojangles
"[""12""]",what year did roberto clemente play for the pirates
"[""18 August 2011""]",1. a normal gene that if mutated can lead to cancer is called a(n)
"[""San Antonio""]",what city is 50 shades of grey set in
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when a woman chases a man taiwan wiki
"[""2024""]",what soviet organization was created in response to the north atlantic treaty organization
"[""March 9, 2018""]",how many super bowls did san francisco win
"[""Parafollicular cells""]",the principal balkan country in which ethnic cleansing took place in the mid-1990s was
"[""Meredith Willson""]",when does star wars open in hollywood studios
"[""the Cambrian explosion""]",who plays the queen in episode 1 star wars
"[""2018""]",where did argentina come in the 2002 world cup
"[""2017""]",who is the ceo of nedbank south africa
"[""1,089 sq ft""]",what are the snowboard events at the olympics
"[""Citytv""]",where does the tv show reba take place
"[""March 27, 2018""]",what is the purpose of a lesson plan
"[""1942""]",which is the most populous country in africa
"[""1998""]",how many episodes in game of thrones season 7 will there be
"[""1988""]",who is chief justice of the supreme court
"[""video editing""]",who plays tupac mom in all eyez on me
"[""2018""]",who has won the most mvp awards in the nba
"[""March 9, 2018""]",what channel is the wnba all star game on
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",when was the ombudsman’s office in england set up
"[""Islamic prophet Muhammad""]",who does adriana from 90210 end up with
"[""2017""]",who were the emperors of the qin dynasty
"[""2002""]",who did the cincinnati reds sweep in the 1990 world series
"[""2024""]",what is a natural source of salicylic acid
"[""Ireland""]",who wrote somebody like you by keith urban
"[""2002""]",what was the largest hurricane in us history
"[""Josh Groban""]",how many national schools in sri lanka 2016
"[""King Edward Peak""]",who gave the concept of game theory first
"[""1967""]",what is the shape of each face of a tetrahedron
"[""1981""]",when does the govenor die in the walking dead
"[""St. Louis Cardinals"",""San Francisco Giants""]",who won odi series india vs england 2018
"[""May 5, 1992""]",who played the fly in the original movie
"[""Spectre""]",pierrot lunaire is based on a cycle of poems written by
"[""New Netherland""]",how many days are in febuary in a leap year
"[""9""]",who sings dont you wish your girlfriend was hot like me
"[""Bella Dayne""]",what is the minimum number of days holiday
"[""April 28, 2017""]",who determines who the government will be in australia
"[""2015""]",list of fair play award in ipl 2018
"[""Jesse Donald Knotts""]",when were the olympic games banned from greece
"[""the Ivrea Codex"",""the Apt Codex""]",where will the commonwealth games be held in 2018
"[""Saddam Hussein""]",who sings more than a woman to me
"[""George Hudson""]",what is the standard enthalpy of formation of nitromethane in kj/mol
"[""2000""]",where do ruby throated hummingbirds go in winter
"[""Citytv""]",when did america first land on the moon
"[""North Korea""]",how many season are there of csi miami
"[""Gal Gadot""]",what is the next marvel movie after civil war
"[""V8 engine""]",when did the first text message get sent
"[""1974""]",the depth of the wave base is approximately
"[""1998""]",which president was the general in charge of the union army during the civil war
"[""John von Neumann""]",how many episodes in sense 8 season 1
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",when did it become mandatory to have a social security number
"[""1982""]",who played long john silver in the pagemaster
"[""San Antonio""]",who wrote please daddy don't get drunk this christmas
"[""March 9, 2018""]",who wrote the lyrics to mary did you know
"[""Bella Dayne""]",who did the us get louisiana purchase from
"[""2018""]",which city is famous for its large cinco de mayo celebration
"[""2024""]",who has scored the most runs in ashes history
"[""originally from the Greek""]",who has scored the most first class centuries in history
"[""Australia""]",the count of monte cristo takes place in
"[""1998""]",where does the ribeye come from on a cow
"[""2000""]",when was the name of the first malicious software detected on a pc
"[""US$500""]",when does the evening standard go to print
"[""Anil Kumar Jha""]",who sang the song i feel it coming
"[""1980""]",who did david schwimmer play in the wonder years
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",how many olympic metals did johnny weir win
"[""Gabrielle Haugh""]",when did drew brees start playing in the nfl
"[""Jesse Donald Knotts""]",who proposed the modern model of the solar system
"[""Tuticorin (Thoothukudi)""]",who's the guy that does the diet dr. pepper commercials
"[""3 to 8 days""]",when is the last time the falcons went to the super bowl
"[""2002""]",what is the size of grenada in square miles
"[""2015""]",who is the actress that plays dabby on disjointed
"[""Miguel Cabrera""]",who drove the car in smokey and the bandit
"[""Abigail Rokison-Woodall""]",when did the first season of the walking dead start
"[""King Edward Peak""]",where are the iron ore deposits of pakistan located
"[""produces a lubricating mucus""]",who is the bomber in the westing game book
"[""1998""]",what is the meaning of listen by beyonce
"[""Gal Gadot""]",when does the new solo movie come out
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",who does natalie portman play in the phantom menace
"[""the Ivrea Codex"",""the Apt Codex""]",who has the power to declare a law unconstitutional
"[""January–July 1975""]",who has been appointed as the new chancellor of nalanda university
"[""Josh Groban""]",when did the tesla model s come out
"[""Lebanese""]",what is the removal of the fallopian tubes and ovaries
"[""Eagles""]",who won the gold cup in soccer this year
"[""originally from the Greek""]",when was the last time the us open was at shinnecock
"[""1939""]",which of the six main organs of the united nations was suspended in 1994
"[""1890""]",gestational sac but no yolk sac and embryo
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who played the shooter in boyz in the hood
"[""Lake Baikal""]",how old was aisha when prophet muhammad married her
"[""China""]",when will batman the enemy within episode 5 be released
"[""Bella Dayne""]",what is the border name between india and pakistan
"[""unknown""]",who wrote the song somebody loan me a dime
"[""2017""]",who played norma desmond in sunset boulevard on broadway
"[""Josh Groban""]",who sang the original version of without you
"[""Thurl Ravenscroft""]",who was known as the parrot of india
"[""rose window""]",who won the 2016 men's individual crossfit games
"[""1967""]",when does when we first met come to netflix
"[""West Bengal""]",where does iowa rank in wind energy production
"[""Anderson Silva""]",when did the song too close come out
"[""Richard Dawson""]",where does food come from when you throw up
"[""unknown""]",who won the rugby between sa and england
"[""Charles Young""]",what happened to the chicago world's fair buildings
"[""a wild Pikachu""]",who was married to ashley in coronation street
"[""Dev"",""Devin Star Tailes""]",when does last 50 shades darker come out
"[""V8 engine""]",where did the atomic bomb drop on hiroshima
"[""1988""]",where does reabsorption of sodium and chloride ions occur
"[""January–July 1975""]",what is the meaning of listen by beyonce
"[""1974""]",who won the 2018 women's wimbledon final
"[""San Antonio""]",the boundary between germany and poland is called
"[""2000""]",who is the girl in coming to america
"[""March 15, 2013""]",who has the right to admit new states
"[""10""]",where did the last name benitez come from
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who plays arizona robbins on grey's anatomy
"[""January 11, 1970""]",who played the trumpet solo on penny lane
"[""Clayton Moore""]",what is the age of the oldest living person on earth
"[""18""]",when is imagine dragons next album coming out
"[""Thurl Ravenscroft""]",who is next in line for the royal throne of england
"[""George Casper Homans""]",what is the longest river in great britain
"[""35""]",when was the first female supreme court justice appointed
"[""Season 4, Episode 8""]",who won rupaul's drag race all stars season 2
"[""North Korea""]",who were the leaders of the battle of chickamauga
"[""Zaira Wasim""]",who composed the music for blade runner 2049
"[""71%""]",who played tara in the man who invented christmas
"[""Ireland""]",how did ted's wife die in how i met your mother
"[""Jimmy Cliff""]",who sings with pink just give me a reason
"[""1890""]",where does a long way gone take place
"[""2012""]",when does chapter 75 of jane the virgin come out
"[""2012""]",who has designed the symbol of indian currency
"[""Spectre""]",who is required to file suspicious activity reports
"[""January–July 1975""]",who won the oscar for best actor in 2006
"[""a maroon Bristol 405""]",who were the scientists who developed the cell theory
"[""2018""]",where is season 8 of ex on the beach
"[""August 17, 2018""]",where was the first ever hot air ballon created
"[""2018""]",how many times have ajax won the european cup
"[""10""]",who was fired or forced to resign in the massacre
"[""V8 engine""]",who voices robin in the lego batman movie
"[""August 27, 2017""]",when is dragon ball super season 2 coming out
"[""Sarabi""]",who received the first nobel prize in physics
"[""13""]",number of goals in world cup so far
"[""18""]",who plays myrcella in game of thrones season 5
"[""2012""]",who starred in the movie to kill a mockingbird
"[""Jason Michael Lee""]",when was it discovered that lead was poisonous
"[""Australia""]",when did billy elliot the musical come out
"[""10 one-hour episodes""]",who does ben from baby daddy end up with
"[""video editing""]",majnu ka tilla new delhi nearest metro station
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",a species that has an essential role in maintaining ecosystem structure is called a
"[""10""]",what was the point of the anaconda plan
"[""Guaranteed Rate Field""]",who is going to be the chief minister of punjab
"[""Anil Kumar Jha""]",name of the main ape in planet of the apes
"[""2017""]",last of the mohicans filming locations north carolina
"[""1988""]",who served the most terms as president of the united states
"[""West Indies""]",how old do you have to be to buy a gun in arizona
"[""Lebanese""]",who did matt dillon play in the outsiders
"[""1942""]",oldest player on us women's soccer team
"[""1998""]",which one is the poorest state in usa
"[""Matthew Prokop""]",when is the next episode of bobs burgers coming out
"[""Matthew Prokop""]",who has the most wins in an mlb season
"[""Spanish""]",who is the judge most recently appointed to the high court of australia
"[""Spanish""]",who played zira on planet of the apes
"[""1988""]",who sang the theme tune to robin hood
"[""2018""]",how many episodes of jane the virgin is there
"[""Billie Jean King""]",who won the mlb world series in 2007
"[""Eagles""]",when did the iphone 5 first come out
"[""May 5, 1992""]",who is known as the human computer of india
"[""Mexico"",""Soviet Union""]",who composed the music for saving private ryan
"[""1980""]",who won the 2017 world's strongest man competition
"[""Parafollicular cells""]",grey's anatomy season 14 ep 13 release date
"[""originally from the Greek""]",how many episodes of peaky blinders season 3
"[""to perceive linear acceleration""]",when did the original my little pony come out
"[""August 27, 2017""]",what is the term to describe seasonal color groups and combinations
"[""1900""]",where does the surname janse van rensburg come from
"[""Jesse Donald Knotts""]",who wrote the songs on as you were
"[""1974""]",how many natural satellites are there in jupiter
"[""2017""]",who plays the queen in the crown season 1
"[""a maroon Bristol 405""]",who won championships trophy in cricket match in london
"[""Jesse Donald Knotts""]",why is messenger rna (mrna) vital to the cell
"[""1942""]",who is going to be the chief minister of punjab
"[""West Bengal""]",where did they get the vibranium to make captain america's shield
"[""rose window""]",aurangazeb road in heart of new delhi was renamed after which personality
"[""State governments""]",who sang the best is yet to come
"[""2012""]",when did leicester city win the premier league
"[""Queen's Park""]",who brought about a compromise between muslim league and congress in 1916
"[""July 16, 2017""]",who play in the new power rangers movie
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when was barbra streisand in a star is born
"[""A concerto""]",when did they stop making the dodge viper
"[""Welton Academy""]",when did the dji phantom 3 come out
"[""Venus""]",total number of rajya sabha seats in up
"[""the axon terminal""]",what episode of legends of tomorrow is the crossover
"[""Islamic prophet Muhammad""]",what type of paper was the bible written on
"[""2018""]",what movie was the song runaround sue in
"[""18""]",large trash island in the middle of the pacific
"[""1962""]",who played juggles the clown on fresh prince
"[""April 1, 1999""]",what channel does the next step play on
"[""in 2018""]",who wrote i was jack you were diane
"[""2018""]",who sang the song bang bang in kill bill
"[""1998""]",who is playing mary poppins in the new mary poppins
"[""the axon terminal""]",who opened the first school for the blind in the us
"[""July 16, 2017""]",when was the women's army corps established
"[""2015""]",who discovered the sun was the center of the solar system
"[""1792""]",which of jupiter's moons is the largest
"[""Miguel Cabrera""]",who averaged a triple double in the nba
"[""13""]",what's the name of the blonde powerpuff girl
"[""1998""]",who does the voice of hogarth in the iron giant
"[""1974""]",who wrote ain't no sunshine when you're gone
"[""1900""]",what city is the washington redskins stadium in
"[""West Bengal""]",what's the bottom part of your leg called
"[""eastward, in prograde motion""]",when did the cask of amontillado take place
"[""unknown""]",who narrates the live action beauty and the beast
"[""12""]",who was responsible for green revolution in india
"[""Mars Bonfire""]",where does the monkey's paw come from
"[""9""]",the form of chronic inflammatory bowel disease affecting the ileum and/or colon is
"[""10""]",when did the civil war take place in america
"[""Potassium chlorate""]",when does season 7 once upon a time start
"[""1981""]",when did the song slob on my knob come out
"[""Amanda Shiflett""]",how many troops did australia send to korea
"[""Billie Jean King""]",the reason that the united states government passed antitrust legislation was
"[""Spectre""]",what was samantha's cousin's name on bewitched
"[""Australia""]",who played the penguin in the original batman
"[""2012""]",who sang does he love you like he loves me
"[""2017""]",how many olympic metals did johnny weir win
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who produces now that's what i call music
"[""May 5, 1992""]",last time the cubs won the world series
"[""1998""]",what is emily last name in a rose for emily
"[""West Bengal""]",who won the world cup the most time
"[""October 10, 2017""]",who won america's got talent in 2015
"[""the Ivrea Codex"",""the Apt Codex""]",the united states today uses which kind of currency
"[""Niagara River""]",where did the last name castillo come from
"[""Sarabi""]",who is broadcasting the super bowl on sunday
"[""Elstree Studios""]",who proposed the idea of independence to the continental congress
"[""Sachin Tendulkar""]",who beat the texas rangers in the world series
"[""eastward, in prograde motion""]",total no of members nominated by president in lok sabha and rajya sabha
"[""October 10, 2017""]",what was the 50th state in the united states
"[""Shirley Mae Jones""]",when do you get your white coat in medical school
"[""Phillip Alford""]",is linkin park a band or a person
"[""Eagles""]",when did the olsen twins start full house
"[""1939""]",when was daylight savings time established in the united states
"[""West Bengal""]",whose statue represents illinois in the us capitol
"[""the Cambrian explosion""]",who won the bathroom on block all stars
"[""Evaluation and management""]",who wrote the music for chicago the movie
"[""Charles Young""]",who was the pledge of allegiance written by
"[""March 25, 2011""]",who is the original singer of only you
"[""Barbicide""]",when was ed sheeran's first album released
"[""Carole King""]",when did we start the pledge of allegiance
"[""2024""]",when do you get a high school class ring
"[""1974""]",last president that was not a democrat or republican
"[""1939""]",where was the el niño phenomena first recognized
"[""March 27, 2018""]",who are the living presidents of the united states
"[""Meredith Willson""]",when was priscilla queen of the desert made
"[""Sachin Tendulkar""]",most number of national awards for best actress
"[""9""]",what is the largest city in the us by land area
"[""7""]",who was the leader of vietnam during the cold war
"[""January 11, 1970""]",how much points did lavar ball average in college
"[""six""]",how many episodes in the originals season 2
"[""Ryan Guzman""]",who is known as the human computer of india
"[""122""]",at the end of the hundred years war the english only held
"[""2–4 years""]",when did seat belts become law in alberta
"[""2018""]",who sang dream a little dream of me first
"[""video editing""]",the cat in the hat boy and girl
"[""New York Yankees""]",sikkim was made an integral part of india under which amendment
"[""video editing""]",when did star spangled banner became national anthem
"[""1943""]",who propounded the nebular hypothesis for the origin of the earth
"[""2009""]",who plays bernadette from the big bang theory
"[""six""]",when did pubs stop closing in the afternoon
"[""2000""]",name the nfl city located on elliott bay in puget sound
"[""12""]",at which battle did the french navy help
"[""December 15, 2017""]",when did 18 become the age to vote
"[""Over 2,500""]",who plays the doctor in star trek into darkness
"[""Saddam Hussein""]",where does the smell of vanilla come from
"[""New Netherland""]",the story idea for the yellow wallpaper was based on a civil war treatment called
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did the story to kill a mockingbird take place
"[""Mary Kate Schellhardt""]",what is the role of the endolymph of the semicircular canals
"[""San Antonio""]",when was harry potter and the half blood prince published
"[""August 27, 2017""]",which president was the general in charge of the union army during the civil war
"[""six""]",what does sandstone turn into under heat and pressure
"[""Calcium ions""]",who was sold by his brothers in the bible
"[""1982""]",who signed the 1900 buganda agreement on behalf of buganda
"[""San Antonio""]",what issues did the various new deal programs address
"[""Pom Klementieff""]",who has the highest on base percentage of all time
"[""Abigail Rokison-Woodall""]",what type of chemical digestion occurs in the stomach
"[""Ireland""]",what movie is zippity doo dah song from
"[""1981""]",most goals in a season in english football
"[""a compulsory governmental insurance system""]",when did youtube red change to youtube premium
"[""the Cambrian explosion""]",who holds the most triple doubles in nba history
"[""3 to 8 days""]",the reason that the united states government passed antitrust legislation was
"[""January–July 1975""]",present chief justice of the supreme court of india
"[""constitutional republic""]",who sang i got my eyes on you
"[""1980""]",the team won the 3rd edition of hockey india league was
"[""Dev"",""Devin Star Tailes""]",how many episodes of the last season of new girl
"[""10""]",when was the last time chelsea won the epl
"[""West Bengal""]",who played the voice of the little mermaid
"[""Abigail Rokison-Woodall""]",who played cory in that's so raven
"[""Marvin Gaye""]",when did justin bieber perform at madison square garden
"[""Marvin Gaye""]",what year did the movie django come out
"[""2017""]",who played sam and dean's father in supernatural
"[""Lionel Messi""]",where does walmart get its great value products
"[""18 August 2011""]",who starred in the silence of the lambs
"[""Charles Young""]",when did the bengals make it to the superbowl
"[""Constantine""]",real name of kabeer of ishq subhan allah
"[""Clayton Moore""]",what percent of schools wear uniforms in the us
"[""October 10, 2017""]",when is the show six coming back on
"[""2017""]",in 1804 the french colony of achieved independence
"[""Greek""]",who is the voice for clifford the big red dog
"[""A concerto""]",who wore number 33 for the green bay packers
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who is the actor that plays jamie on blue bloods
"[""2017""]",when was the last super bowl the giants won
"[""2015""]",who joined the colonial side after the turning point battle
"[""Evaluation and management""]",when was the last time the guillotine was used for execution
"[""2000""]",how far is atlanta ga from athens ga
"[""July 16, 2017""]",who has won the most miss universe crowns
"[""1981""]",who said no to this is your life
"[""2017""]",when did immigration laws start in the united states
"[""West Bengal""]",when was the first dollar general store opened
"[""Jimmy Cliff""]",who plays judith in last tango in halifax
"[""1792""]",when do you find out who a is season 1
"[""Bella Dayne""]",who plays donna on bold and the beautiful
"[""Mary Kate Schellhardt""]",who was the last vice president to become president
"[""18 August 2011""]",when was the boeing 747 first used for commerical service
"[""122""]",who has won the 2017 men's single australian open tennis tournament
"[""Richard Dawson""]",how many episodes are there in season 2 of the crown
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",name of the three headed dog in greek mythology
"[""35""]",who did astros play in 2017 world series
"[""3 to 8 days""]",where will the 2020 olympic games be held
"[""six""]",identify the part of a neuron that releases neurotransmitter
"[""Saddam Hussein""]",person with the most instagram followers in the world
"[""unknown""]",who plays the voice of mittens in bolt
"[""horses""]",nba rules who can call a time out
"[""18""]",who played the nurse in open all hours
"[""Pom Klementieff""]",the lymphatic tissues at the back of the mouth are called
"[""Guaranteed Rate Field""]",who plays the army guy in pitch perfect 3
"[""2015""]",who plays george dixon man in the high castle
"[""Clemson\n1""]",who does the voice of chucky in seed of chucky
"[""volume of the container decreases""]",how many years were arsenal in the champions league
"[""Ireland""]",this african nation is located south of sudan and west of kenya
"[""April 1, 1999""]",where do the housewives of orange county live
"[""Marley""]",how many episodes of sea patrol are there
"[""six""]",who played anakin skywalker in star wars the phantom menace
"[""Season 4, Episode 8""]",what did the animals turn into in cinderella
"[""1980""]",who is the data protection commissioner in ireland
"[""1982""]",when did lebron go to his first finals
"[""E. M. Forster""]",who plays glenn on the good doctor episode 7
"[""2000""]",who played anne neville in the white queen
"[""9""]",when was the last time mississippi state football beat alabama
"[""Atlanta–Fulton County Stadium""]",what were the two main causes of the dust bowl
"[""a compulsory governmental insurance system""]",what type of water is in lake ontario
"[""1950""]",who played daniel in the bible mini series
"[""1980""]",who is the current head of the department of veteran affairs
"[""Carole King""]",who wrote the song i drive your truck
"[""Josh Groban""]",who is the singing voice of belle in beauty and the beast
"[""1967""]",who determines what is and what is not criminal
"[""9""]",who plays v in the movie v for vendetta
"[""Saddam Hussein""]",who plays arturo on the young and restless
"[""1890""]",who sings the in my feelings challenge song
"[""Thurl Ravenscroft""]",according to census 2000 which state has the largest number of households
"[""1920 to 1933""]",who is the current starting quarterback for the minnesota vikings
"[""a wild Pikachu""]",why the koeberg power plant was built in the western cape
"[""1984""]",who paid for the building of wembley stadium
"[""1974""]",first ufc fighter to hold two belts at the same time
"[""4""]",what type of monster is zoe from super monsters
"[""Pom Klementieff""]",who was responsible for green revolution in india
"[""centroid""]",which amusement park holds the record for most rides
"[""redox reactions""]",what year did the disney vacation club start
"[""2017""]",what were the cause of the american civil war
"[""2000""]",when was the last burning at the stake in england
"[""Guaranteed Rate Field""]",who created the original draft of the constitution of india
"[""Ireland""]",who does the director of fema report to
"[""1942""]",when did england last lose three in a row
"[""2002""]",who wrote aaj jane ki zid na karo
"[""Clayton Moore""]",how many times has liverpool won champions league
"[""1962""]",who sang if you cant give me love
"[""December 15, 2017""]",when does nathan scott go to the nba
"[""Phillip Alford""]",when does hodgins end up in a wheelchair
"[""Machilipatnam""]",how many members does a nuclear family have
"[""ice caps""]",the underlying statistical distribution for the​ p-chart is the
"[""Thurl Ravenscroft""]",in october 2017 which country declared that the trade agreement with pakistan has been expired
"[""1974""]",what was the another name for masuli patnam
"[""3 to 8 days""]",when did december 31 fall on a sunday
"[""Queen's Park""]",who had the fastest lap on top gear
"[""2018""]",where was the 2017 planet of the apes filmed
"[""Christopher Robert Evans""]",keeping up with the kardashians season 14 episode 9 air date
"[""122""]",when did 8 out of 10 cats does countdown start
"[""Queen's Park""]",when was the last time peter pan was released
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",when did india get independence from british rule
"[""March 9, 2018""]",who played loonette in the big comfy couch
"[""1988""]",who plays olivia benson on law and order
"[""after a minor infringement""]",who plays the twins on liv and maddie
"[""1900""]",what is the old name for south africa
"[""January–July 1975""]",who played tristram in all creatures great and small
"[""Lionel Messi""]",who sings the original jingle bell rock song
"[""7""]",who wrote the song what's so funny bout peace love and understanding
"[""Calcium ions""]",who won the national football championship last year
"[""Venus""]",girl from hinder lips of an angel video
"[""1988""]",who has won most academy awards for best actor
"[""Eli Marienthal""]",who is the best rapper of the year
"[""Matthew Prokop""]",the reciprocal (inverse) of the period of oscillation is
"[""volume of the container decreases""]",who sang they're coming to take me away ha ha lyrics
"[""1998""]",who is the guy who does thug notes
"[""In 1995""]",who played kevin a series of unfortunate events
"[""Carole King""]",who is the most decorated winter olympian in history
"[""1967""]",who plays philip in shaun of the dead
"[""China""]",what is the largest fish in the amazon
"[""Zaira Wasim""]",what is it called when you copy someone's signature
"[""Season 4, Episode 8""]",the tuba is a member of what instrument family
"[""January 11, 1970""]",what two japanese cities were bombed in ww2
"[""1792""]",top 10 highest grossing movies of all time
"[""Over 2,500""]",when was the dung beetle introduced to australia
"[""2017""]",who played the music for the partridge family
"[""China""]",what does lx stand for in roman numerals
"[""1981""]",who has kate in white collar season 1
"[""2017""]",who plays brandy braxton in austin and ally
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who has the most fights in the ufc
"[""1984""]",when were federal troops removed from the south
"[""Thurl Ravenscroft""]",who created the american image of santa claus
"[""Greek""]",where does the southwest coast path start and finish
"[""John von Neumann""]",when was the last time the us hosted a world cup
"[""six""]",who owns the original han solo in carbonite
"[""PewDiePie""]",who came up with the idea of rudolph the red-nosed reindeer
"[""1984""]",who is going on tour with taylor swift 2018
"[""18""]",what language do they soeak in hong kong
"[""July 16, 2017""]",how old is was the oldest person to ever live
"[""West Indies""]",when does the next episode of grand tour come out
"[""in 2018""]",who did the original voice of yogi bear
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",the tendency for common resources to be overused is known as
"[""a compulsory governmental insurance system""]",who directed sign of the times music video
"[""Dev"",""Devin Star Tailes""]",when does marvel's cloak and dagger come out
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",who sings there's no place i'd rather be
"[""2018""]",when did banks stop printing their own money
"[""Marvin Gaye""]",when was the drinking age 18 in illinois
"[""12""]",during what months would you expect most wildfires to occur in florida
"[""3 to 8 days""]",when did jersey shore family vacation episode 3 air
"[""April 1, 1999""]",how long does a permanent resident visa last in australia
"[""Jimmy Cliff""]",what city was the first capital of texas
"[""Jason Michael Lee""]",share of export from india is the maximum to the following country
"[""Spanish""]",who sings be prepared in the lion king
"[""University of South Carolina""]",who owns the spotted pig in new york city
"[""August 27, 2017""]",when did they stop using cabooses on trains
"[""China""]",lord of the rings the two towers budget
"[""Gal Gadot""]",which city is selected under hriday scheme in karnataka
"[""New Netherland""]",what metric unit is used to describe the mass of an object
"[""1981""]",who stars in the movie i can only imagine
"[""2017""]",who played god in monty python and the holy grail
"[""1939""]",who played the principal on saved by the bell
"[""Bella Dayne""]",who came up with the slogan i'm lovin it
"[""rose window""]",who owns the palm hotel in las vegas
"[""the Ivrea Codex"",""the Apt Codex""]",who played jaws in the spy who loved me
"[""1998""]",who had the most number one radio songs in history
"[""Prince Phillip""]",how many episodes in how i met your mother season 8
"[""35""]",who has been elected as the new president of colombia
"[""Saddam Hussein""]",what was the name of the last james bond film
"[""State governments""]",when did stephen curry become an all star
"[""Monasteries"",""wealthy individuals"",""rulers""]",who began the mass printing of bibles five centuries ago
"[""E. M. Forster""]",the bidding process for the 2010 world cup involved three african countries they were south africa
"[""9""]",when did the last navajo code talker die
"[""April 28, 2017""]",when did the samsung s4 note come out
"[""March 9, 2018""]",which barbarian groups entered the western roman empire through germany
"[""Welton Academy""]",who played the fly in the original movie
"[""August 27, 2017""]",when were the first trenches dug in ww1
"[""9""]",who did matt dillon play in the outsiders
"[""ground state""]",who rules if the king is too young
"[""Barbara Stanwyck"",""Linda Evans"",""Lee Majors"",""Peter Breck"",""Richard Long""]",who plays liesel in the sound of music
"[""December 15, 2017""]",who has won the most gold medals in ski jumping
"[""May 5, 1992""]",who has the fastest selling album of all time
"[""4""]",what is the name of parliament of afghanistan
"[""Zaira Wasim""]",who plays emma frost in x-men first class
"[""Mexico"",""Soviet Union""]",where is the movie peace love and misunderstanding filmed
"[""2015""]",what kind of money does new zealand use
"[""January–July 1975""]",how many points did leicester win the premier league with
"[""2018""]",when did great wolf lodge open in garden grove
"[""2012""]",who is the actual president of the supreme court of justice
"[""Welton Academy""]",who plays the clown in the 2017 movie it
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who does mufasa's voice in lion king
"[""produces a lubricating mucus""]",who was president when we pulled out of vietnam
"[""12""]",who sings let's fall to pieces together
"[""December 2003""]",when did great adventure in jackson nj open
"[""4""]",which place in india receives highest rainfall in the world
"[""New York Yankees""]",who played george in back to the future
"[""originally from the Greek""]",when does the next netflix marvel show come out
"[""PewDiePie""]",cast of the tv show life goes on
"[""17""]",who played the fox in guardians of the galaxy
"[""Clayton Moore""]",when did world war ii in europe end
"[""April 28, 2017""]",who played shaggy in the original scooby doo
"[""originally from the Greek""]",who won the women's money in the bank 2018
"[""18 August 2011""]",when does season 2 of dragon ball super come out
"[""1998""]",what does the president of the united states earn
"[""PewDiePie""]",who said no two objects can occupy the same space at the same time
"[""2018""]",when was the last time baseball was in the olympics
