sentence,label,idx
"Mary listens to the Grateful Dead, she gets depressed.",0,970
He's a more reliable man.,1,7
I thought that you were sick.,1,817
What did you ask who Medea gave?,0,807
John taught English Syntax to new students.,0,185
Bill didn't allege that Roger had eaten anything.,0,551
The butler sent the poison to Dinah.,1,614
I sensed his eagerness.,1,682
The building's the roof is leaking.,1,53
"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",1,539
John paid me against the book.,1,13
"Hopefully, we'll make it through the winter without snow.",1,699
"Sam doesn't play bassoon, nor Medusa oboe.",0,698
Mary thinks that she is smart.,1,508
She's been dancing but we don't know with whom.,0,501
John often meets Mary.,1,275
Bill sent a package to Tom.,1,2
On whom are you counting to incriminate himself?,1,831
Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,1,16
The earth was believed to be round.,1,784
Sandy was trying to work out which students would be able to solve a problem.,1,326
Mary was respected by John.,0,266
Janet broke the cup.,0,926
This proved a decisive factor.,1,380
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,0,412
On whom are you counting to incriminate himself?,0,574
Mary was given by John the book.,1,79
What did you ask who saw?,0,524
John wants not to leave the town.,1,281
I would hate for John to leave.,0,243
A large dog chased a small cat.,0,681
The socks are ready for for you to put on to be planned.,1,53
John's mother likes himself.,0,318
Brown presented a plaque to Jones.,1,940
The defendant denied the accusation.,1,526
Kerry remarked it was late.,1,105
the election of John president surprised me.,1,611
They preferred them arrested.,1,745
The teacher became angry with the students.,1,960
Lou hoped the umbrella in the closet.,0,134
It was believed that Bill was tardy.,1,55
TV puts dumb ideas.,1,1006
"Knowing the country well, he took a short cut.",0,62
The jeweller scribbled the contract with his name.,0,52
I served leek soup to my guests.,0,200
Water bubbled up out of the kettle.,1,761
Either Sam plays the bassoon or Jekyll the oboe.,1,173
Mary thinks that she is smart.,1,329
The birds give the worm a tug.,0,819
You should sit before there.,1,1028
"Poor Bill, it had started to rain and he had no umbrella.",1,121
Fanny regretted having to talk to Aunt Norris.,1,110
I want that Bill left to remain a secret.,0,77
You wanted to meet the man I saw.,1,39
We admired the pictures of us in the album.,1,51
Protect yourself!,1,454
Kim and Terry is happy.,0,3
The witch poisoned the children.,1,418
Leslie told ourselves about us.,1,769
to die is no fun.,1,577
I kicked myself,0,115
Fred talked about everything before Rusty did talk about something.,0,451
Some people consider the dogs in my neighborhood dangerous.,1,700
"Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",1,702
"John and someone were dancing together, but I don't know who.",0,414
The guard marched the prisoners round the yard.,1,293
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",1,173
The gardener grew that acorn into an oak tree.,1,161
A seat available was in the last row.,0,490
With no job would John be happy.,1,574
John regards Bill as a good friend.,0,314
I lent the book partway to Tony.,1,401
How sane is Peter?,1,593
Herself likes Mary's mother.,0,619
The manager laughed.,1,544
Who did John send the book?,0,479
Did Athena help us?,1,674
The candidates bring advantage to the voters.,1,229
The horse that was raced past the barn fell.,1,432
A grandfather clock ticked in the hallway.,1,112
Chris was handed Sandy a note by Pat.,1,168
The horse kicked me black and blue.,1,612
Michelle kept the desk with the papers.,0,950
Brown presented a plaque to Jones.,1,460
I shaped a loaf.,1,469
We arrived about six o'clock,0,706
"I know which book Mag read, and which book Bob said that you hadn't.",1,63
Terry delighted in my pain.,0,903
John will rain tomorrow.,1,106
"They noticed the painting, but I don't know for how long.",0,202
It is a problem that he is here.,0,264
Some people consider dogs dangerous.,1,602
Dumb ideas are put in children's heads.,1,937
John talked to Bill about himself.,1,881
They may grow as high as bamboo.,1,51
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,0,971
I threw away a book that Sandy thought we had read.,1,310
Chris was handed.,1,428
Ricky can be relied on.,1,578
Some people yell at noisy dogs in my neighborhood.,1,371
I gave Pete the book to impress.,1,729
It would prove our theory to be untenable for carrots to be vegetables.,1,618
John often meets Mary.,1,579
You wanted to meet the man I saw.,1,989
"Bill didn't eat the peaches, nor Harry.",1,44
Carmen obtained the spare part at the hardware store.,0,360
The committee knows whose efforts to achieve peace the world should honor.,0,383
The only person whose kids Dana is willing to put up with was written by John.,0,334
The children admire their mother.,1,541
I would like to could swim,0,295
"Max seemed to be trying to force Ted to leave the room, and Walt to stay a little longer.",0,341
The evidence assembled by the prosecution convinced the jury.,1,945
Sentences some go on and on and on and on.,1,690
Nora sent the book.,1,763
"Bill bought a red house, and Max bought one too.",1,148
I'm creating a committee. Kim – you're in charge.,0,1028
I will fix the computer for Carol.,1,2
What the water did to the whole bottle was fill it.,1,1012
"The younger woman might have been tall and, and the older one definitely was, blond.",1,740
Books were taken from each student and given to Mary by the other.,1,294
A letter was received that Jones would be upset by.,0,1030
I would like to could swim,1,176
John decided for Bill to get the prize.,1,960
Neither Von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's on Angel has the right tempo.,1,792
Paul laughed at Mary.,1,226
Kim is eager to please Tom.,1,332
That Fred was unpopular nominated Bill.,1,154
Wash you!,1,340
The children admire their mother.,1,456
Birds sings.,0,880
"If you had eaten more, you would want less.",0,429
Captain Wentworth wrote a letter to Anne Elliott.,1,150
The administration has issued a statement that it is willing to meet a student group.,0,922
Bother you that Kim left!,0,676
Bill's story about Sue and Max's about Kathy both amazed me.,1,544
Those pictures of us offended us.,1,501
Some people consider dogs in my neighborhood dangerous.,0,869
A letter was received Jones would be upset by.,0,662
Chris was handed.,1,125
Magnus went to Ireland.,0,402
The administration has issued a statement that it is willing to meet with one of the student groups.,1,444
The storm arrived while we ate lunch.,1,1
The person whose mother's dog we were all fond of.,1,973
There is a seat available.,1,387
It was believed by the students that they would have an exam.,0,84
Who has Peter talked with?,1,442
"They noticed the painting, but I don't know for how long.",0,641
I'm sure we even got these tickets!,1,418
We tried to amuse them that Kim was singing.,0,79
We relied on Leslie.,0,395
Some people yell at the dogs.,1,803
Everybody around here who ever buys anything on credit talks in his sleep.,0,314
Susan frightens her.,1,396
It bothers me that John coughs.,1,365
We investigated the area for bombs.,1,504
The teacher became.,1,150
This violin is difficult to play sonatas on.,0,769
I'm creating a committee. Kim – you're in charge.,1,788
Dogs like Kim.,1,803
It was to to amuse us that Kim was singing that they wanted.,1,633
Any pilot on duty today could be flying this plane.,0,484
Cohen proved that the continuum hypothesis was independent.,0,545
The man I saw get into the cab robbed the bank.,1,128
It annoys me that Fido barks.,1,835
Will he can do it?,1,817
The Peter we all like was at the party,0,1035
An evil thought struck Dave.,1,568
John tried to please Stephen.,1,666
John was seen the book.,0,562
The stream twists through the valley.,1,751
Ellen warned Helen against skating on thin ice.,1,445
Which girl did Mike quip never wore this hat?,1,277
Some people consider the noisy dogs dangerous.,1,630
I wonder to whom they dedicated the building.,1,258
"Max seemed to be trying to force Ted to leave the room, and Walt to stay a little longer.",0,744
This is the senator to whose mother's friend's sister's I sent the letter.,1,656
They yelled.,0,161
The evidence assembled by the prosecution convinced the jury.,1,454
"George has spent a lot of money, hasn't he?",1,691
Dana walking and Leslie running.,1,296
This week will be a difficult one for us.,1,451
Blue leather shows herself that Betsy is pretty.,1,420
I threw away a book that Sandy thought we had read.,0,797
The candidates bring advantage to the voters.,1,102
The horse that was raced past the barn fell.,0,347
The love of my life and mother of my children would never do such a thing.,1,341
Whose bagels do you like?,0,686
I felt that I know you.,1,461
Kim and Terry is happy.,1,135
The car was driven by John to Maine.,1,164
I am both expecting to get the job and of the opinion that it is a desirable one.,0,947
The dog stole the turkey.,1,697
Carla slid the book.,1,153
Carla slid the book.,1,536
This dogs barked.,1,644
John said Joan saw someone from her graduating class.,1,661
The defendants denies the allegation.,1,899
It was expected by the reporters that the principal would fire some teacher.,1,105
Who did you get an accurate description of?,1,1009
The bucket was kicked by Pat.,1,846
The committee will study the feasibility of setting up a national computer network.,1,220
This flyer and that flyer differ.,1,735
Was sunk.,1,11
Dana walked and Leslie ran.,1,321
Susan devoted herself to linguistics.,1,391
We like ourselves.,0,569
Harriet admired Mr Knightley.,1,559
This week will be a difficult one for us.,1,270
"Sally asked if somebody was going to fail math class, but I can't remember who.",0,797
Birds sings.,1,602
Max is on the phone now.,1,368
Mary believes that Bill saw himself.,0,273
Fred talked about everything before Rusty did talk about something.,1,875
Jean is reluctant to dance.,1,296
Anson became a muscle bound.,1,40
"If the ants were called elephants and elephants ants, I'd be able to squash an elephant.",1,759
John left orders to follow Pete.,1,1005
Books were taken from each student by the other.,1,494
Mira condemned Terry for the accident.,1,896
Each candidate who has interest in semantics will be admitted to the department.,1,621
The cat was bitten the mouse.,0,828
The book surprised many people.,1,242
The person responsible confessed.,1,251
The cat was bitten the mouse.,0,214
Somebody apparently struck the unidentified victim during the early morning hours.,0,1005
I would prefer for John to leave.,1,955
How fierce the battle?,1,478
Jean wants Bill to do the Macarena.,0,292
Few dog barked.,1,264
They should pen the letter quickly.,1,188
"Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.",0,861
They knew that pictures of each other would be on sale.,0,148
I noticed the.,0,203
I wonder who to place my trust in.,1,965
Everything you like is on the table.,1,272
John is tall on several occasions.,1,521
Linda taped the picture to the wall.,1,133
John regards Bill as a good friend.,1,214
The person whose mother's dog we were all fond of.,1,190
I wonder what to be a clown on the cover of.,0,236
"Millie will send the President an obscene telegram, and Paul, the Secretary a rude letter.",1,374
"I know which book José didn't read for class, and which book Lilly did it for him.",1,745
Ourselves like ourselves.,1,154
I won't ask you to believe that he tried to force me to give her any money.,0,155
John promised Bill to leave.,1,1008
John called the president a fool.,0,988
Leslie slept.,0,499
I can't remember the name of somebody who had misgivings.,1,295
Each of the boys fought with some of the other boys.,0,781
That he is here is clear.,1,191
John grudgingly accepted judgments of his incompetence as an auto mechanic.,0,862
Who always drinks milk?,1,909
"Drowning cats, which is against the law, are hard to rescue.",1,648
The dog stole the turkey.,0,814
I dislike the people in who we placed our trust.,1,222
She talked to John or Mary but I don't know which one.,0,177
The books lifted onto the table.,1,804
The socks are ready for for you to put on to be planned.,0,613
It is to give up to leave.,1,17
John sounded very.,1,71
"The more you would want, the less you would eat.",1,531
John was seen the book.,1,1010
Which house does your friend live?,1,550
Which report that John was incompetent did he submit?,1,125
Any owl hunts mice.,1,164
I want goes to the store.,1,78
The madrigals which Henry plays the lute and sings sound lousy.,1,441
What did you leave before they started playing?,1,326
"Which book's, author did you meet who you liked?",1,700
"Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.",0,608
Anson demonized David every day,1,32
There seemed to be intelligent.,1,696
They preferred them arrested.,0,175
I hit that you knew the answer.,0,469
He turned into a frog.,1,706
The building's the roof is leaking.,1,325
Herman whipped the sugar and the cream.,1,652
The book was by John written.,1,699
The man who Mary loves and Sally hates computed my tax.,1,1011
If only Superman would stop flying planes!,1,357
The cat were bitten by the dog.,0,360
We want John to win.,1,87
The car was driven.,1,577
Which house does your friend live?,0,878
I inquired when could we leave.,0,299
Penny skated around the rink.,1,136
John is easy to please Kim.,1,654
Neither von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's has the right tempo.,1,775
They talk to themselves.,0,31
Bill's wine from France and Ted's from California cannot be compared.,1,38
John paid me against the book.,1,124
John wants not to leave the town.,1,720
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,1,1016
Have you seen my model airplane collection?,1,633
The child and her mother clung together.,0,457
the one with a red cover takes a very long time to read.,1,629
"I will see them, but I don't know how many of them.",1,797
John loaded the wagon full with hay.,1,414
Lou put the umbrella was broken.,0,423
The bills passed by the House yesterday that we objected to were vetoed.,1,305
It is to give up to leave.,0,986
I'm sure I would like him to eat fruit more than I would cookies.,1,168
The cat was bitten the mouse.,1,958
It annoys people that dogs bark.,1,823
Visiting relatives can be boring.,1,473
There loved Sandy.,1,573
Came right in he did without so much as a knock.,0,283
I gave it to Pete to take to the fair.,1,472
Cohen proved that the continuum hypothesis was independent.,1,379
Fido barks.,0,1041
"Every senator seems to become more corrupt, as he talks to more lobbyists.",0,195
He can not have been working.,0,890
did the policeman meet in the park?,0,572
John asked.,1,624
I mixed the sugar into the butter.,1,963
Those pictures of us offended us.,1,959
My heart is pounding me.,1,248
She's been dancing but we don't know with whom.,1,401
It bothers me that John coughs.,1,780
Came right in he did without so much as a knock.,0,475
The teacher became.,1,747
"The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.",0,483
Frances hid the presents in the drawer.,1,448
Sam gave the ball out of the basket.,1,58
They knew that pictures of each other would be on sale.,0,282
Somebody apparently struck the unidentified victim during the early morning hours.,1,608
What the water did to the bottle was fill it.,1,461
I felt that I know you.,1,64
Felicia kicked the ball off the bench.,1,872
The voices echoed in the hall.,0,1022
Who who you like does Sandy also like?,1,602
John tried to be a good boy.,0,632
A magazine about crime appeared on the newsstands.,0,842
Sandy was trying to work out which students would be able to solve a certain problem.,1,406
It is nice to go abroad.,1,812
Kim and Terry is happy.,1,437
John became deadly afraid of flying.,1,807
The correspondence school sent Bill a good typist.,0,1037
John ate his noodle quietly.,1,7
