answer,question
"[""Priya Vasudev Mani Iyer""]",the first movie of planet of the apes
"[""September 12, 2006""]",fire and fury inside the trump white house publisher
"[""Arunachal Pradesh""]",what does a bird have that no other animal has
"[""Highlands North, Johannesburg""]",who was responsible for the home invasions on sons of anarchy
"[""2017""]",when did the ipod shuffle 4th generation come out
"[""The Ganges-Brahmaputra Delta""]",who did deion sanders play for in nfl
"[""9""]",when did the lyrics to o canada change
"[""August 31, 2010""]",when was television made available to the public
"[""Molt Taylor""]",who did katharine mcphee lose to in american idol
"[""late 14th-century""]",who does don mail meditations in an emergency to
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",whos the gm of the oakland a's
"[""December 16, 2009""]",when did it last rain in the atacama desert
"[""October 13, 2017""]",when did battle of the sexes come out
"["", r""]",what country lies closest to the north african coast
"[""May 1999""]",what airs first chicago med fire or pd
"[""William Strickland""]",who invented the first gear driven calculating machine
"[""February 4, 1948""]",where does the term spirits for alcohol come from
"[""Suleiman I""]",who did the pittsburgh penguins beat in the stanley cup
"[""Vera""]",where does the last name ewing come from
"[""1981""]",who sang at the super bowl 2017 half time show
"[""Weapon XI""]",the first monarch to rule a united crown of aragon was
"[""about 4.54 billion years ago""]",who was the president during spanish american war
"[""Highlands North, Johannesburg""]",when was dream a little dream of me written
"[""Punjab""]",first president to brew beer in the white house
"[""Punjab""]",who are the guys on the sonic commercial
"[""Betty Grable"",""Lauren Bacall"",""Alex D'Arcy"",""Marilyn Monroe"",""Fred Clark"",""Cameron Mitchell"",""Rory Calhoun"",""David Wayne"",""William Powell""]",who played the monster in jeepers creepers 3
"[""December 1, 1969""]",the ability of an instrument of actually measure what it is intended to measure is known as
"[""1980""]",what office in the u.s. treasury department manages the production of coins
"[""9""]",who was the longest living president of the united states
"[""December 15, 2017""]",where is the soccer world cup taking place this year
"[""1981""]",who played rush limbaugh on the family guy
"[""rose window""]",according to science how many days are in a year
"[""Madhubala""]",who invaded kuwait for allegedly drilling iraq oil
"[""Félix Hernández""]",india become member of un in the year
"[""ArmaLite Rifle""]",who won the national championship last year in college football
"[""March 9, 2018""]",who is going to be the chief minister of punjab
"[""Spanish""]",when did pretty fly for a white guy come out
"[""10""]",what is the symbol on superman's chest
"[""2015""]",who played the first lady in olympus has fallen
"[""Enoch Sontonga"",""C. J. Langenhoven""]",who has 2 tapes in 13 reasons why
"[""2015""]",what is the capital of us virgin islands
"[""18""]",who won the most fa cup in england
"[""later in pregnancy""]",who was the first chief minister of punjab after independence
"[""12""]",who sings sweet home alabama in the movie sweet home alabama
"[""8 July 2000""]",what is the spitting dinosaur in jurassic park
"[""Dash""]",the altitude of this star changes as we change latitude
"[""Sam Elliott""]",who played the hunchback in the hunchback of notre dame
"[""Eileen Davidson"",""Brynn Thayer""]",when was shine on you crazy diamond written
"[""A concerto""]",when did one piece air on cartoon network
"[""13,327""]",how much does the state of california pay in federal taxes
"[""115 years, 301 days""]",what is the most up to date android platform
"[""2015""]",how many episodes of doctor who are there in the new series
"[""1984""]",what event took place in fukushima japan after a tsunami
"[""redox reactions""]",who discovered the direction of magnetic field lines
"[""September 21, 2018""]",who has the most stage wins in tour de france
"[""August 31, 2010""]",what cut of meat is new york strip steak
"[""December 15, 2017""]",who plays reese witherspoons daughters in home again
"[""Men in Black""]",who is known as the super fast boy in the series the incredible
"[""Eli Marienthal""]",who won the first season of the block
"[""October 19, 2017""]",who does the voice of gaara in naruto
"[""2018""]",what is the name of the white dragon in merlin
"[""20""]",what is linked to mediterranean by suez canal
"[""2000""]",when did they take prayer out of school
"[""May 1999""]",where does the last name cobb come from
"[""February 14, 2016""]",when is the nobel peace prize awarded each year
"[""1984–85 season""]",who plays coby in packed to the rafters
"[""China""]",who won the most states in the 2016 presidential election
"[""Below the knee""]",what is the age limit to go on an lds mission
"[""1981""]",who wrote all we are is dust in the wind
"[""Kevin Phillips""]",in what area of the lung does respiration occur
"[""Zone Improvement Plan""]",when does season 2 of a series of unfortunate events come out
"[""Emma Thompson""]",which fast and furious does letty die in
"[""March 9, 2018""]",who plays the voice of joy in inside out
"[""13,327""]",when do we celebrate world environment day and why
"[""Season 4, Episode 8""]",first woman to be hung in arizona territory
"[""Jack Vidgen""]",what was the spruce goose made out of
"[""Jimmy Yeary"",""Jessi Alexander"",""Connie Harrington""]",who is the eagle in looking for alaska
"[""three or four""]",the longest wavelengths in the visible spectrum are
"[""February 14, 2016""]",who played seymour in last of the summer wine
"[""The Ganges-Brahmaputra Delta""]",who plays terry crews brother in law in brooklyn nine nine
"[""pyramidion""]",minister of road transport and highways in india
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when is season 3 of some assembly required coming to netflix
"[""Jess Walton""]",when does episode 10 of seal team come on
"[""Eddie Cantor's radio show""]",who played the feral kid in mad max 2
"[""Below the knee""]",alan parsons project intro eye in the sky
"[""alternating current/direct current""]",when is the maze runner 2 coming out
"[""Australia""]",the amount of light reflected from the front surface of common window glass is about
"[""Suleiman I""]",who invented the first telescope in the world
"[""1967""]",who scored the most points in a playoff game
"[""Democrats""]",who represents the government in front of the supreme court
"[""alternating current/direct current""]",when was pi first used in its present form
"[""Félix Hernández""]",who was the first person to be awarded the bharat ratna
"[""March 9, 2018""]",who plays charlie on it's always sunny
"[""Gallery""]",who had the fastest lap on top gear
"["", r""]",what capital is home of the red house
"[""Below the knee""]",who plays taylor on the bold and beautiful
"[""Marvin Gaye""]",when did scotland get knocked out of the world cup
"[""Cambridge""]",when was the us public health service founded
"[""Weapon XI""]",when did the last godzilla movie come out
"[""Cambridge""]",who built the first train in the world
"[""9""]",who sings the theme song from only fools and horses
"[""cut the South in two""]",what does the t in tanakh stand for
"[""$128,400""]",who was the first woman to be nominated for best director at the academy awards
"[""March 9, 2018""]",who is the president in london has fallen
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",who played robert baratheon on game of thrones
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",mountain from which moses saw the promised land
"[""1890""]",where does the tv show reba take place
"[""May 1999""]",what was the name of the school in wonder
"[""Post Alley""]",what is the population of the des moines area
"[""2018""]",where does the avon river start in christchurch
"[""countries that ratified the convention""]",where is the density of an atom concentrated
"[""Cambridge""]",who plays mike baxter's dad on last man standing
"[""Laaa"",""Larry Daley""]",what happened to chucky's mom in rugrats
"[""Jess Walton""]",where did the romans get the arch from
"[""August 31, 2010""]",who has written the most books in the world
"[""1 1/2\""""]",who played velma in scooby doo the mystery begins
"[""Zone Improvement Plan""]",who did the original voice of yogi bear
"[""71%""]",what are the major languages of the philippines
"[""Australia""]",who made my little pony friendship is magic
"[""35""]",who holds the record for most 3 pointers in a finals game
"[""1988""]",who plays the original gina in coronation street
"[""Madhubala""]",who played bob in suite life of zack and cody
"[""NBC""]",which country's head visit to pakistan first
"[""Greek""]",when did they stop using silver in half dollars
"[""Bond Gideon (1980)""]",name of ship that brought pilgrims to america
"[""India""]",when do new stranger things episodes come out
"[""1988""]",who played the lead role in famous film bandit queen
"[""Suleiman I""]",who has the most overtime goals in the nhl
"[""1984""]",where was american horror story season 5 filmed
"[""Below the knee""]",what is the first episode of wild kratts
"[""March 9, 2018""]",where is area code 204 located in usa
"[""Australia""]",who sings moon river breakfast at tiffany's
"[""Bond Gideon (1980)""]",who was the founder of gajapati dynasty of orissa
"[""three or four""]",in the show veep what state did selina myers represent in the us senate
"[""Jason Michael Lee""]",where is protein broken down into amino acids
"[""1967""]",when was the first time joshua was mentioned in the bible
"[""115 years, 301 days""]",what season did elena and damon get together
"[""Permian–Triassic extinction event""]",when was the last time chelsea won the epl
"[""Post Alley""]",who plays sonya on law and order svu
"[""Weapon XI""]",who files the lawsuit in a criminal case
"[""produces a lubricating mucus""]",where did the phrase eating crow come from
"[""Sam Manekshaw""]",where is the lens of the eye located
"[""68""]",who won football manager of the year 2018
"[""1890""]",who is broadcasting the super bowl on sunday
"[""1967""]",who is the son of lord krishna n rukmini
"[""Jamey Johnson""]",japanese dish of salted green soybeans boiled in their pods
"[""1962""]",when is the look what you made me do music video
"[""18""]",what is snake's name in jungle book
"[""71%""]",when did bryan adams wrote everything i do
"[""cut the South in two""]",who did dr faust sell his soul too
"[""Vivien Leigh""]",who wrote the song raindrops keep falling on my head
"[""1982""]",who's running for lieutenant governor in georgia
"[""Bill Medley"",""Jennifer Warnes""]",how many episodes of big brother season 20 have aired
"[""in 2018""]",who is the actor who plays captain america
"[""1974""]",when did sourav ganguly made his odi debut
"[""Nervous tissue or nerve tissue""]",who sang original i put a spell on you
"[""cut the South in two""]",who did romeo miller play college basketball for
"[""Over 2,500""]",who gave the famous cross of gold speech
"[""2018""]",who founded some of the first movements toward independent living and disability rights
"[""Dash""]",who sang the theme song for the brady bunch
"[""December 1, 1969""]",who starred in why did i get married
"[""20""]",who plays the character irok in ready player one
"[""six""]",who wrote the music for the world at war
"[""1967""]",who played phil in phil of the future
"[""1974""]",who was sailing the titanic when it crashed
"[""China""]",how many angles of rotation does a octagon have
"[""countries that ratified the convention""]",where is the the great pacific garbage patch located
"[""1998""]",who do realists believe are the primary actors in international relations
"[""Joseph Smith""]",when did they launch the international space station
"[""Below the knee""]",what day is the united states marine corps birthday
"[""1974""]",when did us go to war in afghanistan
"[""October 19, 2017""]",how much does a full gold sovereign weight
"[""Permian–Triassic extinction event""]",when was the last time chelsea won the epl
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",when did newspapers peak as a mass medium
"[""1 1/2\""""]",who plays dr owen hunt on grey's anatomy
"[""35""]",where does the group boney m come from
"[""PewDiePie""]",when was the last time the capitals won the cup
"[""12""]",what do you call the fear of the dark
"[""video editing""]",when did the last godzilla movie come out
"[""Betsy Sodaro""]",when did the movie the day after come out
"[""August 21, 2017""]",who starred in breakfast at tiffany's 1961
"[""1974""]",where was the song silent night first sung
"[""Lieutenant General Jagjit Singh Aurora""]",when is hydrogen shown in a skeletal structure
"[""September 12, 2006""]",who makes up the general assembly of the un
"[""October 13, 2017""]",who was 'man of the match' in india's 1983 world cup winning final
"[""corn starch""]",who wrote the sanford and son theme song
"[""2017""]",which hormone stimulates the release of the ovum from the ovary
"[""countries that ratified the convention""]",who plays the voice of edna in the incredibles
"[""1974""]",how many episodes in season four of 12 monkeys
"[""Permian–Triassic extinction event""]",who is the leader of malabar rebellion in 1921
"[""President of the Legislative Council""]",when is the new start wars coming out
"[""5,000 to 1""]",who plays mona lisa on parks and recreation
"[""December 1, 1969""]",who is singing in the background of gold digger
"[""Australia""]",what was the name of the first rover to land on mars
"[""late 14th-century""]",who plays del boy in rock and chips
"[""Gayla Peevey""]",who is the actor that plays the cat in the hat
"[""Greek""]",who has most grand slams in mlb history
"[""Liverpool""]",what type of dogs do the obamas have
"[""September 28, 2017""]",where does most of our table salt come from
"[""corn starch""]",what year did the disney vacation club start
"[""Punjab""]",who plays young ethan in a dogs purpose
"[""August 31, 2010""]",when were glass windows first used in england
"[""March 2008""]",who hoisted indian national flag for the first time
"[""other endeavours""]",when was the euro introduced as legal currency in the world market
"[""9""]",what do you call the fans of got7
"[""2000""]",where will the commonwealth games be held in 2018
"[""Enoch Sontonga"",""C. J. Langenhoven""]",runner up of icc t20 cricket tournament 2007
"[""April 28, 2017""]",when did thanksgiving start as a national holiday
"[""1981""]",who plays miranda sings in haters back off
"[""American singer Kehlani""]",bad guy in lord of the rings name
"[""2017""]",who provided evidence to suggest the existence of the neutron
"[""March 9, 2018""]",what is the song in rocky 4 training montage
"[""cut the South in two""]",how much does the state of california pay in federal taxes
"[""Stephen Collins Foster""]",when does thanos first appear in the mcu
"[""September 28, 2017""]",when did this girl is on fire come out
"[""1962""]",who is required to get statutory audit done
"[""September 28, 2017""]",where is pepsin most active in the body
"[""three or four""]",first singer to win the best playback singer filmfare award
"[""the ice cap polar climate""]",who does andy serkis play in star wars the force awakens
"[""1980""]",what is the newest set of magic the gathering
"[""February 4, 1948""]",how many episodes are there in the show the sinner
"[""2012""]",how many times have the rams won the superbowl
"[""countries that ratified the convention""]",who played rosanna on as the world turns
"[""Thurl Ravenscroft""]",who won great british bake off season one
"[""Bond Gideon (1980)""]",who hit the gong on take your pick
"[""Atlanta–Fulton County Stadium""]",country with highest rate of aids in africa
"[""Dr. Lexie Grey""]",who played adam newman on the young and restless
"[""Nervous tissue or nerve tissue""]",when did fingerprints start being used by the police
"[""1967""]",who wrote this guy's in love with you
"[""Vera""]",how many troops did australia send to korea
"[""Vera""]",who was the french and indian war fought between
"[""18""]",who played sweety in sonu ke titu ki sweety
"[""Belgium""]",who came in 2nd in the first presidential election
"[""Laaa"",""Larry Daley""]",top 10 highest grossing movies of all time
"[""31""]",how many episodes in series 1 of orange is the new black
"[""1967""]",when does season 15 of top chef start
"[""Over 2,500""]",when was the last time the us constitution changed
"[""1981""]",who is the student of the year in movie
"[""2000""]",who hosted the 38th season premiere of saturday night live
"[""Amalie Arena in Tampa""]",who plays the grandmother in switched at birth
"[""March 9, 2018""]",who does sam neil play in peter rabbit
"[""Jamey Johnson""]",who has won the most titles in wwe
"[""Minnesota""]",orange is the new black cast transgender actress
"["", r""]",who played juggles the clown on fresh prince
"[""Emmanuel Macron""]",the atmospheric gas that is mainly responsible for greenhouse effect
"[""Cambridge""]",when was the last time liverpool won the premier league title
"[""Emma Thompson""]",where did they film the movie safe haven
"[""31""]",who plays merlin in transformers the last night
"[""Sykes""]",top 10 largest country in africa by land mass
"[""American singer Kehlani""]",who has the right of way in international waters
"[""Jason Michael Lee""]",who died in the plane crash in greys anatomy
"[""Molt Taylor""]",where is the cadbury creme egg factory located in england
"[""late 14th-century""]",when does the new grey's anatomy come on
"[""eastward, in prograde motion""]",when does nikolas cassadine return to general hospital
"[""Minnesota""]",which country is called land of morning calm
"[""2015""]",who sang if i can't have you by the bee gees
"[""Yann Martel""]",where is lackland air force base located in texas
"[""Bill Russell""]",batman enemy within season 2 episode 4 release date
"[""redox reactions""]",when was ankara made the capital of turkey
"[""six""]",who played dorothy gale in return to oz
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when was the white cliffs of dover written
"[""horses""]",who created the original draft of the constitution of india
"[""1967""]",how many languages anne frank's diary is published in
"[""China""]",who won icc t 20 world cup 2016
"[""Australia""]",what does the narrator say he is waiting for in the first lines of gerontion
"[""1998""]",actress in the movie the autopsy of jane doe
"[""United Kingdom"",""England"",""London""]",when will subnautica be finished for xbox one
"[""Vera""]",cranial nerve ix is also known as which of the following
"[""Thurl Ravenscroft""]",what do the black stripes under football players eyes do
"[""Highlands North, Johannesburg""]",where does nectar come from in a flower
"[""71%""]",the invasion of kuwait by iraq resulted in a conflict that became known as
"[""Thurl Ravenscroft""]",when did beauty and the beast movie come out
"[""late 14th-century""]",in her tomb by the sounding sea poe
"[""Priya Vasudev Mani Iyer""]",who was the last british female to win wimbledon
"[""Team Leader (TL)""]",when did presidents start swearing on the bible
"[""9""]",who is awarded the orange cap in ipl twenty20 tournament
"[""Bernard of Chartres""]",a group of objects orbiting between mars and jupiter
"[""1998""]",when does throne of glass 6 come out
"[""October 19, 2017""]",who is present defence minister of india 2017
"[""August 16, 1896""]",east india company started trade with india from which city in 1608
"[""St. Louis Cardinals"",""San Francisco Giants""]",where is the lowest minimum wage in the us
"[""12""]",who fights in the battle of the bastards
"[""2000""]",which type of soil is formed by leaching process
"[""India""]",what are the names of the tweenies characters
"[""2024""]",what type of magma formed at mid-ocean ridges
"[""February 14, 2016""]",which state in nigeria has the most beautiful girl
"[""Bond Gideon (1980)""]",when did season 4 of greys anatomy come out
"[""Javier Colon""]",who played mrs robinson in the film the graduate
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",where did the mutiny on the bounty take place
"[""1.000""]",when was star wars attack of the clones made
"[""1980""]",what is the gini coefficient of the united states
"[""Flag Day in 1954""]",when does season 2 of a series of unfortunate events come out
"[""December 15, 2017""]",which was adopted and raised by a king of mithila
"[""Australia""]",when did the smoking ban come into ireland
"[""Sykes""]",what is a number that is the same forwards and backwards
"[""February 4, 1948""]",when was the original planet of the apes made
"[""Lumi Cavazos""]",where does eastern time zone change to central
"[""20""]",who was 'man of the match' in india's 1983 world cup winning final
"[""13""]",where is located the center of the earth
"[""Sykes""]",the first sepoy who refused to use the greased cartridge
"[""eastward, in prograde motion""]",when did buffy the vampire slayer come out
"[""Lumi Cavazos""]",when was it discovered that lead was poisonous
"[""Kevin Phillips""]",what type of writing is most similar to an autobiography a. poetry b. short story c. novel d. memoir
"[""United Kingdom"",""England"",""London""]",who are the top 3 best selling music artists of all time
"[""Laaa"",""Larry Daley""]",when was the second constitutional election held in nepal
"[""in 2018""]",what is the northern most state in the us
"[""Australia""]",what relation is michelle connor to carla connor
"[""in 2018""]",who was the roman emperor when jerusalem was destroyed
"[""1988""]",who plays helena cassa dine on general hospital
"[""President of the Legislative Council""]",when did the movie pete's dragon come out
"[""Ocean Shores"",""Oak Harbor"",""Orting"",""Othello"",""Olympia"",""Oroville"",""Okanogan"",""Omak"",""Oakville""]",who played the oompa loompas in willy wonka 2005
"[""2018""]",who sang you don't know me first
"[""32""]",who had the most hits in mlb history
"[""Jamey Johnson""]",physician who studies and treats diseases of the endocrine system
"[""Permian–Triassic extinction event""]",when did the mental capacity act came into force
"[""July 16, 2017""]",when was the last time eagles were in playoffs
"[""the tifosi""]",who holds the record for the most rebounds in the nba
"[""Minnesota""]",where did the show step by step take place
"[""Greek""]",who holds the record for most points scored in a nba game
"[""Bond Gideon (1980)""]",who plays jake in not another teenage movie
"[""Tinnitus""]",who is playing the new mayor on blue bloods
"[""July 16, 2017""]",who has the highest minimum wage in the us
"[""Liverpool""]",who sings hey good lookin what you got cookin
"[""corn starch""]",who is the new chairman senate of pakistan
"[""May 1999""]",when was the first series of 24 made
"[""Minnesota""]",how old was ruth in the bible when she married boaz
"[""2024""]",who sits on the woolsack in the house of lords
"[""A mood swing""]",what did cher win an academy award for
"[""NFC/NFL""]",who sang will it go round in circles
"[""2018""]",who is next in line to be the monarch of england
"[""Atlanta–Fulton County Stadium""]",when does tokyo ghoul re episode 1 come out
"[""2017""]",who won the men's single title in french open tennis tournament 2015
"[""Below the knee""]",where do you find the dorsalis pedis pulse
"[""Belgium""]",where was the 2017 planet of the apes filmed
"[""PewDiePie""]",where is glastonbury on the map of uk
"[""fertilization""]",which country is called land of morning calm
"[""1984–85 season""]",the thin contractile protein of a muscle cell is known as
"[""Matthew Prokop""]",who does sanchez play for in the world cup
"[""\""Journey's End\""""]",how many episodes is season 6 of mindy project
"[""13""]",what episode does angelina leave in season 2
"[""NBC""]",who is the protagonist in call of the wild
"[""November 5, 2004""]",where was paper planes filmed in western australia
"[""Spanish""]",what is the name of the dwarf planets
"[""Tinnitus""]",where is the brisket on a cow located
"[""horses""]",where did the phrase skeletons in the closet come from
"[""Post Alley""]",who played manny in diary of a wimpy kid
"[""in 2018""]",when did the little mermaid 3 come out
"[""1982""]",when did the ravens last won a superbowl
"[""Tinnitus""]",who cut the ear of the high priest's servant
"[""Sam Elliott""]",who was the little boy in the shining
"[""Cambridge""]",who are the players on the nrl trophy
"[""Greek""]",where do they grow wheat in the us
"[""Bond Gideon (1980)""]",who composed the music for jana gana mana
"[""Emmanuel Macron""]",who is the new chairman senate of pakistan
"[""10""]",when did figure skating become an olympic sport
"[""China""]",who played the penguin in the original batman
"[""horses""]",when was the last time russia went to the world cup
"[""Nervous tissue or nerve tissue""]",dragon ball z super next episode release date
"[""2018""]",what is the first book of pretty little liars
"[""1974""]",what was one cause of the decline of the byzantine empire
"[""Bill Medley"",""Jennifer Warnes""]",who played jason in friday the 13th part 1
"[""Jess Walton""]",how many total games in an mlb season
"[""Democrats""]",in which state the bharatiya janata party from the government for the first time in 2018
"[""the ice cap polar climate""]",who does flicks voice in a bug's life
"[""1988""]",on the top of how many hill is shimla built
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",who wrote didn't we almost have it all
"[""corn starch""]",percentage of high school students in national honor society
"[""Sam Elliott""]",who won the last 4 majors in golf
"[""Mars Bonfire""]",where is the room where it happened located
"[""Tinnitus""]",where is the national highway traffic safety administration located
"[""1974""]",the count of monte cristo takes place in
"[""six""]",when did i can only imagine become a hit
"[""August 21, 2017""]",when did drinking age go from 18 to 21
"[""Emmanuel Macron""]",who plays ducky's assistant casey on ncis
"[""April 28, 2017""]",who played davenport in last of the summer wine
"[""1984""]",what's the name of the latest james bond movie
"[""2015""]",inner lining of the fibrous pericardium is formed by
"[""October 13, 2017""]",what body system is the cloaca part of
"[""March 9, 2018""]",when did the song hey jude by the beatles come out
"[""six""]",who plays wilma's mother in the flintstones
"[""2005""]",who was the last horse who won the triple crown
"[""Amalie Arena in Tampa""]",when were the olympic games banned from greece
"[""April 28, 2017""]",who plays in won't you be my neighbor
"[""Zone Improvement Plan""]",what was the front line trench in ww1
"[""pyramidion""]",what is the difference between ayat and surah
"[""Enoch Sontonga"",""C. J. Langenhoven""]",new amsterdam was the main settlement in the dutch colony of
"[""video editing""]",when is the second part of the new it coming out
"[""Season 4, Episode 8""]",who has the most career turnovers in the nba
"[""six""]",where does chronicles of a death foretold take place
"[""Esther Williams"",""Ricardo Montalban""]",the name of the first ever vax that was sold in the uk
"[""eastward, in prograde motion""]",who is running for us senate from michigan
"[""1967""]",where does the royal family live in denmark
"[""13""]",who has more la liga titles real madrid or barcelona
"[""Spanish""]",who defeats the king in hunter x hunter
"[""James Arthur""]",how long does it take the concorde to fly from paris to new york
"[""in 2018""]",who sang schoolhouse rock i'm just a bill
"[""the ice cap polar climate""]",which indian sportsperson wife will represent in basketball
"[""cut the South in two""]",when did the north and south korea war start
"[""Tallulah Belle Willis"",""Jodhi May"",""Scout LaRue Willis""]",3. which two allied powers were offered lands in the middle east after the war by britain
"[""1962""]",what is the highest grossing box office film of all time
"[""China""]",how many episodes in season 1 of girlfriends guide to divorce
"[""Australia""]",when is masterchef australia 2018 starting in south africa
"[""December 15, 2017""]",who is the girl that plays haley in modern family
"[""Jason Michael Lee""]",what was the famous window called in the notre dame cathedral in paris france
"[""1982""]",author of song i have decided to follow jesus
"[""5 June""]",how many pages is a time to kill
"[""2015""]",who sang all i really want to do
"[""corn starch""]",the u.s. holiday that eventually became memorial day was first known as what
"[""18""]",who sponsored or started the colony at roanoke
"[""in 2018""]",when did nigeria become part of the commonwealth
"[""13""]",who sang i got a little something for you
"[""Cambridge""]",when did texas become apart of the united states
"[""Jess Walton""]",who is the secretary of state of united states
"["", r""]",who played charlene darling on the andy griffith show
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",who plays the twins on liv and maddie
"[""six""]",when did the first civilizations in the world arise
"[""about 4.54 billion years ago""]",the fibrous sac covering of the heart which is in contact with the pleura is the
"[""Emmanuel Macron""]",what is the most widely spoken language in south africa
"[""September 22, 1987""]",when did france give the u.s. the statue of liberty
"[""in 2018""]",who was president when we pulled out of vietnam
"[""Men in Black""]",who won the womens world cup in 2015
"[""NBC""]",when is chapter 5 of agent a coming out
"[""Vera""]",who is the song i need a doctor about
"[""Australia""]",when did the first titanic movie come out
"[""Marvin Gaye""]",1740 green acres drive beverly hills california usa
"[""2018""]",who sings listen to your heart original version
"[""Félix Hernández""]",when was iisc named to its current name
"[""the maturation phase""]",who played shane sutter on law and order
"[""2018""]",who wrote the hymn come thou fount of every blessing
"[""Marvin Gaye""]",to how many decimal places should the volume of a liquid in a burette be recorded
"[""Jason Michael Lee""]",who played ramsey bolton in game of thrones
"[""1980""]",the team won the 3rd edition of hockey india league was
"[""Permian–Triassic extinction event""]",who played winnie in mrs brown's boy
"[""China""]",when was the last time manchester united won a trophy
"[""2015""]",who played dr chase's father on house
"[""Arunachal Pradesh""]",when did atwood wrote the handmaid's tale
"[""Greek""]",who invented the first perm for black hair
"[""2018""]",where does the pacific crest trail end in canada
"[""Gallery""]",who plays damon wayans wife on lethal weapon
"[""Jess Walton""]",the concept of fundamental duties of indian constitution was borrowed from which country
"[""March 9, 2018""]",what is the proper term used for the signature given by celebrities to their fans
"[""impermanence"",""unsatisfactoriness or suffering"",""non-self""]",when does the radio times come out for christmas
"[""eastward, in prograde motion""]",when did witney carson start dancing with the stars
"[""Australia""]",where did the hot dog originally come from
"[""in 2018""]",how many cities of refuge were the israelites to form
"[""Amalie Arena in Tampa""]",bryan adams i do it for you year
"[""12""]",who has the right to admit new states
"[""2000""]",a blend of capitalism and socialism is known as
"[""March 9, 2018""]",who plays bryce loski in the movie flipped
"[""later in pregnancy""]",when did the song selfish by rihanna come out
"[""Zone Improvement Plan""]",who wrote the significance of the frontier in american history
"[""Lumi Cavazos""]",ignorance of the law excuses no one in latin
"[""April 28, 2017""]",where can you find india's only floating casino
"[""Greek""]",where does the movie queen of katwe take place
"[""Laaa"",""Larry Daley""]",a member of the commonwealth that was not colonized by britain is
"[""Jason Michael Lee""]",what are produced by bacteria and cut dna at specific points
"[""John Masefield""]",when was the immigration reform and control act passed
"[""Jonathan Richman""]",when did the first ibm personal computer debut
"[""corn starch""]",when is thor ragnarok coming out in the us
"[""Félix Hernández""]",how many national schools in sri lanka 2016
"["", r""]",when does the new season of brooklyn nine-nine air
"[""Bill Medley"",""Jennifer Warnes""]",when does the adventures of tintin take place
"[""Tinnitus""]",term of non permanent member of un security council
"[""2017""]",when did the battle of germantown start and end
"[""2012""]",who played the monster in jeepers creepers 3
"[""December 1, 1969""]",when did the hot and spicy come out
"[""10""]",who wrote i'm a believer for the monkees
"[""Team Leader (TL)""]",what city has the biggest population in the united states
"[""Suleiman I""]",who is the new girl on price is right
"[""A mood swing""]",when did european cup become uefa champions league
"[""August 31, 2010""]",what are the four major types of plasma lipoproteins
"[""2018""]",what was the name of the train on mr rogers
"[""NBC""]",who had the most championship rings in the nfl
"[""Kevin Phillips""]",when were credit cards introduced in the us
"[""March 2008""]",where was the first non aligned summit held
"[""1962""]",when does rick and morty ep 7 air
"[""Spectre""]",who sang the song it's so nice to be with you
"[""April 28, 2017""]",when did the first episode of snl air
"[""NFC/NFL""]",who is the girl that plays in the movie shooter
"[""Shirley Mae Jones""]",who led the colonists at lexington and concord
"[""Mars Bonfire""]",who are the defending champions in the world cup
"[""October 19, 2017""]",in greek mythology who solved the riddle of the sphinx
"[""1998""]",where is nj transit located in port authority
"[""produces a lubricating mucus""]",factors that led to the decline of the great zimbabwe state
"[""Permian–Triassic extinction event""]",who is the giffgaff mobile network run by
"[""Vivien Leigh""]",when was the picture of dorian gray written
"[""produces a lubricating mucus""]",who played lord voldemort in harry potter series
"[""Men in Black""]",what kind of roof does the at&t stadium have
"[""1967""]",what is the capacity of optus stadium perth
"[""1974""]",who did half time at super bowl 2017
"["", r""]",who played jill abbott on the young and the restless
"[""Permian–Triassic extinction event""]",who has won back to back nba championships
"[""Eli Marienthal""]",what is the origin of the name cynthia
"[""Betty Grable"",""Lauren Bacall"",""Alex D'Arcy"",""Marilyn Monroe"",""Fred Clark"",""Cameron Mitchell"",""Rory Calhoun"",""David Wayne"",""William Powell""]",where are the 2018 winter olimpics being held
"[""AD 80""]",who plays the chairman of the bank in mary poppins
"[""Robin Sharma""]",who played sam and dean's father in supernatural
"[""ArmaLite Rifle""]",when did the first season of the walking dead start
"[""20""]",who is the ceo of lord and taylor
"[""Emmanuel Macron""]",who is she's got a way about
"[""20""]",what stores metadata instead of actual data in dbms
"[""The Ganges-Brahmaputra Delta""]",what's the tallest roller coaster in the us
"[""late 14th-century""]",who is the robot in big hero 6
"[""35""]",what is bud's full name on grace and frankie
"[""Post Alley""]",what season did lebron win his first championship
"[""Madhubala""]",where does the salt of the sea come from
"[""countries that ratified the convention""]",when did just dance by lady gaga come out
